season,matchday,team,Pts,Sum,GD
2018-2019,19,Real Betis,26.0,2.0,0.0
2018-2019,19,Real Sociedad,22.0,-3.0,0.0
2018-2019,19,Girona,23.0,-2.0,-2.0
2018-2019,19,Espanyol,24.0,-3.0,-5.0
2018-2019,19,Valencia,22.0,-1.0,0.0
2018-2019,19,Levante,23.0,-1.0,-4.0
2018-2019,19,CD Leganés,19.0,0.0,-5.0
2018-2019,19,Athletic,19.0,1.0,-7.0
2018-2019,19,Real Valladolid,21.0,-2.0,-4.0
2018-2019,19,SD Eibar,22.0,-1.0,-4.0
2018-2019,19,Celta de Vigo,21.0,0.0,1.0
2018-2019,19,Rayo Vallecano,16.0,1.0,-14.0
2018-2019,19,Villarreal,17.0,-2.0,-4.0
2018-2019,19,SD Huesca,11.0,-2.0,-18.0
2018-2019,18,Barcelona,37.0,4.0,29.0
2018-2019,18,Atlético Madrid,34.0,3.0,13.0
2018-2019,18,Sevilla FC,32.0,2.0,13.0
2018-2019,18,Alavés,28.0,-1.0,2.0
2018-2019,18,Real Madrid,30.0,2.0,5.0
2018-2019,18,Real Betis,26.0,2.0,1.0
2018-2019,18,Getafe,25.0,2.0,5.0
2018-2019,18,Espanyol,21.0,-5.0,-6.0
2018-2019,18,Levante,22.0,-1.0,-4.0
2018-2019,18,Girona,22.0,-1.0,-2.0
2018-2019,18,SD Eibar,21.0,0.0,-4.0
2018-2019,18,Valencia,22.0,1.0,1.0
2018-2019,18,Real Sociedad,19.0,-3.0,-2.0
2018-2019,18,Real Valladolid,21.0,-2.0,-3.0
2018-2019,18,Celta de Vigo,21.0,0.0,2.0
2018-2019,18,CD Leganés,19.0,2.0,-4.0
2018-2019,18,Athletic,16.0,0.0,-8.0
2018-2019,18,Villarreal,16.0,-1.0,-4.0
2018-2019,18,Rayo Vallecano,13.0,-1.0,-15.0
2018-2019,18,SD Huesca,8.0,-3.0,-19.0
2018-2019,17,Barcelona,34.0,2.0,27.0
2018-2019,17,Atlético Madrid,31.0,3.0,12.0
2018-2019,17,Sevilla FC,31.0,3.0,13.0
2018-2019,17,Real Madrid,29.0,3.0,5.0
2018-2019,17,Alavés,25.0,-1.0,1.0
2018-2019,17,Real Betis,25.0,3.0,1.0
2018-2019,17,Getafe,24.0,1.0,5.0
2018-2019,17,Girona,21.0,-1.0,-2.0
2018-2019,17,Valencia,19.0,1.0,0.0
2018-2019,17,Levante,22.0,-1.0,-3.0
2018-2019,17,SD Eibar,20.0,0.0,-4.0
2018-2019,17,Espanyol,21.0,-5.0,-5.0
2018-2019,17,Celta de Vigo,21.0,0.0,4.0
2018-2019,17,Real Valladolid,20.0,-2.0,-3.0
2018-2019,17,Real Sociedad,19.0,-1.0,-1.0
2018-2019,17,CD Leganés,18.0,2.0,-4.0
2018-2019,17,Athletic,15.0,-1.0,-8.0
2018-2019,17,Villarreal,15.0,-1.0,-4.0
2018-2019,17,Rayo Vallecano,10.0,-2.0,-16.0
2018-2019,17,SD Huesca,8.0,-3.0,-18.0
2018-2019,16,Barcelona,31.0,2.0,22.0
2018-2019,16,Sevilla FC,28.0,2.0,11.0
2018-2019,16,Atlético Madrid,28.0,2.0,11.0
2018-2019,16,Real Madrid,26.0,3.0,4.0
2018-2019,16,Alavés,24.0,-2.0,1.0
2018-2019,16,Real Betis,22.0,2.0,-1.0
2018-2019,16,Getafe,21.0,0.0,4.0
2018-2019,16,Levante,22.0,0.0,2.0
2018-2019,16,Celta de Vigo,20.0,0.0,4.0
2018-2019,16,Espanyol,21.0,-3.0,-3.0
2018-2019,16,Girona,21.0,1.0,0.0
2018-2019,16,Real Valladolid,20.0,-2.0,-2.0
2018-2019,16,SD Eibar,19.0,1.0,-4.0
2018-2019,16,Real Sociedad,19.0,0.0,0.0
2018-2019,16,Valencia,18.0,0.0,0.0
2018-2019,16,CD Leganés,17.0,2.0,-4.0
2018-2019,16,Villarreal,14.0,-1.0,-4.0
2018-2019,16,Athletic,14.0,-2.0,-8.0
2018-2019,16,Rayo Vallecano,10.0,-2.0,-15.0
2018-2019,16,SD Huesca,7.0,-3.0,-18.0
2018-2019,15,Barcelona,28.0,2.0,18.0
2018-2019,15,Atlético Madrid,25.0,2.0,8.0
2018-2019,15,Sevilla FC,27.0,3.0,11.0
2018-2019,15,Real Madrid,23.0,1.0,3.0
2018-2019,15,Alavés,24.0,0.0,4.0
2018-2019,15,Real Betis,19.0,0.0,-3.0
2018-2019,15,Levante,21.0,1.0,2.0
2018-2019,15,Espanyol,21.0,-2.0,1.0
2018-2019,15,Getafe,20.0,1.0,4.0
2018-2019,15,Girona,21.0,3.0,1.0
2018-2019,15,Celta de Vigo,17.0,0.0,3.0
2018-2019,15,Real Valladolid,17.0,-3.0,-3.0
2018-2019,15,SD Eibar,18.0,0.0,-4.0
2018-2019,15,Real Sociedad,19.0,0.0,1.0
2018-2019,15,Valencia,17.0,0.0,0.0
2018-2019,15,CD Leganés,16.0,1.0,-4.0
2018-2019,15,Villarreal,14.0,-1.0,-3.0
2018-2019,15,Athletic,11.0,-3.0,-9.0
2018-2019,15,Rayo Vallecano,10.0,-2.0,-13.0
2018-2019,15,SD Huesca,7.0,-3.0,-17.0
2018-2019,14,Barcelona,25.0,2.0,16.0
2018-2019,14,Sevilla FC,26.0,2.0,11.0
2018-2019,14,Atlético Madrid,24.0,2.0,8.0
2018-2019,14,Alavés,23.0,1.0,4.0
2018-2019,14,Real Madrid,20.0,-1.0,1.0
2018-2019,14,Girona,20.0,3.0,1.0
2018-2019,14,Levante,18.0,1.0,-1.0
2018-2019,14,Espanyol,21.0,0.0,4.0
2018-2019,14,Getafe,17.0,1.0,1.0
2018-2019,14,Real Betis,16.0,-2.0,-4.0
2018-2019,14,Real Sociedad,19.0,1.0,2.0
2018-2019,14,SD Eibar,18.0,1.0,-3.0
2018-2019,14,Celta de Vigo,14.0,-2.0,1.0
2018-2019,14,Real Valladolid,17.0,-1.0,-1.0
2018-2019,14,Valencia,17.0,1.0,2.0
2018-2019,14,CD Leganés,13.0,0.0,-6.0
2018-2019,14,Villarreal,14.0,0.0,-1.0
2018-2019,14,Athletic,11.0,-2.0,-6.0
2018-2019,14,Rayo Vallecano,7.0,-4.0,-14.0
2018-2019,14,SD Huesca,7.0,-3.0,-15.0
2018-2019,13,Sevilla FC,23.0,2.0,10.0
2018-2019,13,Barcelona,24.0,2.0,16.0
2018-2019,13,Atlético Madrid,23.0,3.0,8.0
2018-2019,13,Alavés,23.0,3.0,5.0
2018-2019,13,Espanyol,21.0,2.0,6.0
2018-2019,13,Real Madrid,20.0,-1.0,4.0
2018-2019,13,Girona,17.0,1.0,-1.0
2018-2019,13,Real Sociedad,16.0,1.0,1.0
2018-2019,13,SD Eibar,15.0,1.0,-6.0
2018-2019,13,Levante,17.0,2.0,-1.0
2018-2019,13,Valencia,14.0,0.0,-1.0
2018-2019,13,Getafe,16.0,0.0,1.0
2018-2019,13,Real Valladolid,17.0,1.0,0.0
2018-2019,13,Real Betis,16.0,-2.0,-3.0
2018-2019,13,Villarreal,11.0,-2.0,-2.0
2018-2019,13,Celta de Vigo,14.0,-2.0,2.0
2018-2019,13,CD Leganés,10.0,0.0,-7.0
2018-2019,13,Athletic,10.0,-3.0,-6.0
2018-2019,13,SD Huesca,6.0,-4.0,-15.0
2018-2019,13,Rayo Vallecano,7.0,-4.0,-11.0
2018-2019,12,Barcelona,24.0,3.0,17.0
2018-2019,12,Atlético Madrid,20.0,2.0,7.0
2018-2019,12,Alavés,20.0,1.0,4.0
2018-2019,12,Sevilla FC,20.0,2.0,9.0
2018-2019,12,Espanyol,21.0,3.0,7.0
2018-2019,12,Real Madrid,17.0,-2.0,2.0
2018-2019,12,Levante,17.0,4.0,1.0
2018-2019,12,Real Valladolid,16.0,2.0,0.0
2018-2019,12,Girona,16.0,1.0,-1.0
2018-2019,12,Getafe,16.0,1.0,2.0
2018-2019,12,Real Sociedad,13.0,-1.0,-1.0
2018-2019,12,Real Betis,13.0,-2.0,-4.0
2018-2019,12,SD Eibar,14.0,0.0,-6.0
2018-2019,12,Celta de Vigo,14.0,-1.0,4.0
2018-2019,12,Valencia,11.0,0.0,-2.0
2018-2019,12,Villarreal,10.0,-3.0,-2.0
2018-2019,12,Athletic,10.0,-2.0,-5.0
2018-2019,12,CD Leganés,9.0,-1.0,-7.0
2018-2019,12,Rayo Vallecano,6.0,-4.0,-11.0
2018-2019,12,SD Huesca,6.0,-3.0,-14.0
2018-2019,11,Barcelona,21.0,1.0,16.0
2018-2019,11,Espanyol,18.0,3.0,6.0
2018-2019,11,Atlético Madrid,19.0,3.0,7.0
2018-2019,11,Alavés,20.0,2.0,5.0
2018-2019,11,Sevilla FC,19.0,3.0,9.0
2018-2019,11,Real Madrid,14.0,-4.0,0.0
2018-2019,11,Levante,16.0,3.0,1.0
2018-2019,11,Real Valladolid,16.0,4.0,2.0
2018-2019,11,Girona,13.0,-1.0,-2.0
2018-2019,11,Getafe,15.0,1.0,2.0
2018-2019,11,SD Eibar,11.0,-2.0,-7.0
2018-2019,11,Celta de Vigo,13.0,-1.0,4.0
2018-2019,11,Real Sociedad,12.0,-1.0,-1.0
2018-2019,11,Real Betis,12.0,-1.0,-4.0
2018-2019,11,Valencia,11.0,1.0,-1.0
2018-2019,11,Villarreal,9.0,-2.0,-2.0
2018-2019,11,Athletic,10.0,-2.0,-4.0
2018-2019,11,CD Leganés,8.0,0.0,-7.0
2018-2019,11,Rayo Vallecano,6.0,-3.0,-10.0
2018-2019,11,SD Huesca,5.0,-4.0,-14.0
2018-2019,10,Barcelona,18.0,0.0,12.0
2018-2019,10,Alavés,17.0,2.0,4.0
2018-2019,10,Atlético Madrid,16.0,3.0,5.0
2018-2019,10,Sevilla FC,16.0,3.0,8.0
2018-2019,10,Espanyol,17.0,2.0,6.0
2018-2019,10,Real Valladolid,15.0,4.0,2.0
2018-2019,10,Levante,13.0,1.0,-1.0
2018-2019,10,Getafe,12.0,-1.0,0.0
2018-2019,10,Real Madrid,14.0,-2.0,4.0
2018-2019,10,Girona,10.0,-2.0,-3.0
2018-2019,10,Celta de Vigo,10.0,-2.0,0.0
2018-2019,10,Real Sociedad,12.0,1.0,1.0
2018-2019,10,Real Betis,12.0,0.0,-2.0
2018-2019,10,Valencia,10.0,1.0,-1.0
2018-2019,10,SD Eibar,11.0,0.0,-3.0
2018-2019,10,Athletic,9.0,-2.0,-4.0
2018-2019,10,Villarreal,9.0,-1.0,-1.0
2018-2019,10,CD Leganés,8.0,0.0,-5.0
2018-2019,10,Rayo Vallecano,6.0,-3.0,-9.0
2018-2019,10,SD Huesca,5.0,-4.0,-13.0
2018-2019,9,Barcelona,15.0,0.0,10.0
2018-2019,9,Alavés,14.0,2.0,3.0
2018-2019,9,Espanyol,14.0,2.0,4.0
2018-2019,9,Atlético Madrid,15.0,3.0,5.0
2018-2019,9,Sevilla FC,16.0,3.0,10.0
2018-2019,9,Real Valladolid,12.0,2.0,1.0
2018-2019,9,Real Madrid,14.0,-1.0,5.0
2018-2019,9,Levante,10.0,-1.0,-2.0
2018-2019,9,Real Betis,12.0,1.0,-1.0
2018-2019,9,Real Sociedad,11.0,0.0,1.0
2018-2019,9,Getafe,9.0,-1.0,-1.0
2018-2019,9,SD Eibar,10.0,0.0,-3.0
2018-2019,9,Celta de Vigo,10.0,-2.0,1.0
2018-2019,9,Valencia,9.0,1.0,-1.0
2018-2019,9,Girona,9.0,-1.0,-3.0
2018-2019,9,Villarreal,8.0,0.0,-1.0
2018-2019,9,Athletic,8.0,-2.0,-4.0
2018-2019,9,CD Leganés,7.0,-1.0,-5.0
2018-2019,9,Rayo Vallecano,6.0,-1.0,-8.0
2018-2019,9,SD Huesca,5.0,-4.0,-11.0
2018-2019,8,Sevilla FC,13.0,1.0,9.0
2018-2019,8,Atlético Madrid,12.0,1.0,4.0
2018-2019,8,Barcelona,14.0,1.0,10.0
2018-2019,8,Alavés,11.0,2.0,2.0
2018-2019,8,Espanyol,11.0,0.0,2.0
2018-2019,8,Real Madrid,14.0,1.0,6.0
2018-2019,8,Real Valladolid,9.0,1.0,0.0
2018-2019,8,Real Betis,12.0,3.0,0.0
2018-2019,8,Real Sociedad,8.0,-2.0,-1.0
2018-2019,8,SD Eibar,7.0,0.0,-4.0
2018-2019,8,Levante,7.0,-2.0,-3.0
2018-2019,8,Celta de Vigo,10.0,0.0,2.0
2018-2019,8,Girona,9.0,1.0,-2.0
2018-2019,8,Getafe,9.0,0.0,0.0
2018-2019,8,Valencia,8.0,1.0,-1.0
2018-2019,8,Athletic,8.0,-1.0,-2.0
2018-2019,8,Villarreal,8.0,0.0,1.0
2018-2019,8,CD Leganés,4.0,-3.0,-6.0
2018-2019,8,Rayo Vallecano,6.0,0.0,-7.0
2018-2019,8,SD Huesca,5.0,-4.0,-10.0
2018-2019,7,Barcelona,13.0,2.0,10.0
2018-2019,7,Real Madrid,13.0,2.0,6.0
2018-2019,7,Sevilla FC,10.0,0.0,7.0
2018-2019,7,Real Betis,9.0,2.0,-1.0
2018-2019,7,Atlético Madrid,11.0,2.0,4.0
2018-2019,7,Espanyol,10.0,1.0,2.0
2018-2019,7,Alavés,11.0,3.0,3.0
2018-2019,7,Celta de Vigo,9.0,1.0,2.0
2018-2019,7,Girona,8.0,0.0,-2.0
2018-2019,7,Real Valladolid,6.0,-1.0,-1.0
2018-2019,7,Getafe,8.0,1.0,0.0
2018-2019,7,Real Sociedad,8.0,-1.0,0.0
2018-2019,7,Villarreal,8.0,1.0,2.0
2018-2019,7,Valencia,5.0,-1.0,-2.0
2018-2019,7,Athletic,7.0,-1.0,-2.0
2018-2019,7,SD Eibar,7.0,0.0,-2.0
2018-2019,7,Levante,4.0,-4.0,-4.0
2018-2019,7,Rayo Vallecano,5.0,-1.0,-7.0
2018-2019,7,SD Huesca,4.0,-4.0,-10.0
2018-2019,7,CD Leganés,4.0,-2.0,-5.0
2018-2019,6,Barcelona,13.0,4.0,11.0
2018-2019,6,Real Madrid,13.0,4.0,9.0
2018-2019,6,Atlético Madrid,8.0,1.0,1.0
2018-2019,6,Alavés,10.0,2.0,3.0
2018-2019,6,Espanyol,7.0,0.0,1.0
2018-2019,6,Sevilla FC,7.0,0.0,4.0
2018-2019,6,Celta de Vigo,8.0,1.0,2.0
2018-2019,6,Real Betis,6.0,0.0,-2.0
2018-2019,6,Real Sociedad,7.0,0.0,0.0
2018-2019,6,Girona,8.0,1.0,-1.0
2018-2019,6,Villarreal,5.0,-1.0,-1.0
2018-2019,6,Getafe,7.0,0.0,0.0
2018-2019,6,Athletic,7.0,1.0,1.0
2018-2019,6,SD Eibar,7.0,0.0,-1.0
2018-2019,6,Real Valladolid,3.0,-2.0,-2.0
2018-2019,6,Valencia,4.0,-1.0,-2.0
2018-2019,6,Rayo Vallecano,4.0,-2.0,-7.0
2018-2019,6,CD Leganés,1.0,-4.0,-6.0
2018-2019,6,SD Huesca,4.0,-2.0,-7.0
2018-2019,6,Levante,4.0,-2.0,-3.0
2018-2019,5,Real Madrid,10.0,3.0,8.0
2018-2019,5,Barcelona,12.0,4.0,11.0
2018-2019,5,Alavés,7.0,1.0,-1.0
2018-2019,5,Celta de Vigo,7.0,1.0,2.0
2018-2019,5,Atlético Madrid,5.0,0.0,-1.0
2018-2019,5,Girona,7.0,1.0,-1.0
2018-2019,5,SD Eibar,4.0,-1.0,-2.0
2018-2019,5,Getafe,7.0,1.0,2.0
2018-2019,5,Real Sociedad,4.0,-1.0,-1.0
2018-2019,5,Espanyol,7.0,1.0,2.0
2018-2019,5,Sevilla FC,4.0,-1.0,0.0
2018-2019,5,Athletic,6.0,1.0,1.0
2018-2019,5,Real Betis,5.0,0.0,-2.0
2018-2019,5,Villarreal,4.0,-1.0,-1.0
2018-2019,5,SD Huesca,4.0,-1.0,-6.0
2018-2019,5,Rayo Vallecano,4.0,-1.0,-3.0
2018-2019,5,Levante,4.0,-1.0,1.0
2018-2019,5,Valencia,3.0,-1.0,-2.0
2018-2019,5,Real Valladolid,2.0,-2.0,-2.0
2018-2019,5,CD Leganés,1.0,-3.0,-5.0
2018-2019,4,Barcelona,9.0,3.0,10.0
2018-2019,4,Real Madrid,9.0,3.0,8.0
2018-2019,4,Espanyol,4.0,0.0,1.0
2018-2019,4,Girona,4.0,0.0,-2.0
2018-2019,4,Alavés,4.0,0.0,-2.0
2018-2019,4,Getafe,4.0,0.0,0.0
2018-2019,4,Celta de Vigo,7.0,2.0,3.0
2018-2019,4,Athletic,5.0,1.0,1.0
2018-2019,4,Atlético Madrid,4.0,0.0,-1.0
2018-2019,4,Real Betis,4.0,0.0,-2.0
2018-2019,4,SD Huesca,4.0,0.0,-5.0
2018-2019,4,Real Sociedad,4.0,0.0,0.0
2018-2019,4,Sevilla FC,4.0,0.0,2.0
2018-2019,4,Rayo Vallecano,1.0,-2.0,-4.0
2018-2019,4,SD Eibar,3.0,-1.0,-2.0
2018-2019,4,Villarreal,1.0,-2.0,-2.0
2018-2019,4,Levante,4.0,0.0,2.0
2018-2019,4,Valencia,2.0,-1.0,-2.0
2018-2019,4,Real Valladolid,2.0,-1.0,-1.0
2018-2019,4,CD Leganés,1.0,-2.0,-4.0
2018-2019,3,Real Madrid,6.0,2.0,5.0
2018-2019,3,Barcelona,6.0,2.0,4.0
2018-2019,3,Celta de Vigo,4.0,1.0,1.0
2018-2019,3,Athletic,4.0,1.0,1.0
2018-2019,3,Getafe,3.0,0.0,0.0
2018-2019,3,Levante,3.0,0.0,2.0
2018-2019,3,Alavés,1.0,-1.0,-3.0
2018-2019,3,Real Betis,1.0,-1.0,-3.0
2018-2019,3,Real Sociedad,4.0,1.0,1.0
2018-2019,3,Girona,1.0,-1.0,-3.0
2018-2019,3,Atlético Madrid,4.0,1.0,1.0
2018-2019,3,Espanyol,4.0,1.0,2.0
2018-2019,3,SD Huesca,4.0,1.0,1.0
